model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_strategy,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_reg_lambda,param_subsample,param_depth,param_iterations,param_l2_leaf_reg
CatBoostClassifier,0.06263168652852376,0.016785429563742946,0.013703346252441406,0.00711313808966611,,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.6102272727272727,0.6185952934580056,0.6736355226641998,0.6341526962831594,0.02812680959528388,3,0.7982073643410853,0.8323674703236748,0.8219476744186047,0.8175075030277883,0.014294860420685113,,,,,0.1,,,4.0,100.0,1.0
CatBoostClassifier,0.04391853014628092,0.003521643884090078,0.015056769053141275,0.0012757352330054705,,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",0.4563106796116505,0.5036718156495316,0.45555555555555555,0.47184601693891254,0.02250634948574369,14,0.5177379752397199,0.47996148496843904,0.47256944444444443,0.49008963488420115,0.01978187064103645,,,,,0.01,,,4.0,100.0,3.0
CatBoostClassifier,0.04957842826843262,0.010256024858360276,0.006168047587076823,0.0036069345742613126,,"{'depth': 4, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.6213757617266389,0.6159874608150471,0.6675043980899723,0.6349558735438862,0.023120168457775103,2,0.7721789394320181,0.8345422030679004,0.7657809095508012,0.7908340173502398,0.031016531297974638,,,,,0.1,,,4.0,100.0,3.0
CatBoostClassifier,0.036412556966145836,0.01400950513069783,0.005047400792439778,0.002079540317141185,,"{'depth': 6, 'iterations': 50, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.4563106796116505,0.5036718156495316,0.4859176918753513,0.48196672904551113,0.01953589656950768,12,0.559697227233645,0.532112197585273,0.525843219353338,0.5392175480574186,0.014705735080550224,,,,,0.01,,,6.0,50.0,1.0
CatBoostClassifier,0.03488659858703613,0.006429637196201179,0.006214062372843425,0.001587732774391244,,"{'depth': 6, 'iterations': 50, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.6128916419786337,0.6107380291172263,0.6736471341658662,0.6324256017539088,0.02916128212638292,4,0.8465708942783005,0.8591225346443563,0.8330886884419295,0.8462607057881953,0.01063053619523957,,,,,0.1,,,6.0,50.0,1.0
CatBoostClassifier,0.033171892166137695,0.004026387161458024,0.004441738128662109,0.0012996144187618953,,"{'depth': 6, 'iterations': 50, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",0.4563106796116505,0.5036718156495316,0.4871275428378492,0.4823700126996771,0.01962557636455349,11,0.5529411764705883,0.5177379752397199,0.49606633837458236,0.5222484966949635,0.02343708464464499,,,,,0.01,,,6.0,50.0,3.0
CatBoostClassifier,0.04047799110412598,0.012758980261736885,0.004880666732788086,0.0011372116534487948,,"{'depth': 6, 'iterations': 50, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.6213757617266389,0.5938394534885763,0.6799895506792059,0.631734921964807,0.035925329616848,5,0.7982073643410853,0.8213756139466264,0.8062408985312178,0.8086079589396431,0.009605351934521184,,,,,0.1,,,6.0,50.0,3.0
CatBoostClassifier,0.06674512227376302,0.012382632828656228,0.006799777348836263,0.0024509275649698807,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.4563106796116505,0.5431325682002253,0.5294117647058824,0.5096183375059193,0.03810813478127645,9,0.6092900799247767,0.6166619652092149,0.5806355048460312,0.602195849993341,0.015539681148918308,,,,,0.01,,,6.0,100.0,1.0
CatBoostClassifier,0.06717697779337566,0.013771742550587121,0.003767251968383789,0.0012137435511073687,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.6076076076076076,0.6415882967607105,0.6945687877167519,0.6479215640283567,0.03578309113912453,1,0.9681307788760096,0.9782312925170068,0.9574531930855055,0.9679384214928407,0.008483714006592619,,,,,0.1,,,6.0,100.0,1.0
CatBoostClassifier,0.07437300682067871,0.00631065544851667,0.003978729248046875,0.00026236033704385913,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",0.45555555555555555,0.515313671835411,0.5312050268572008,0.5006914180827224,0.03256857744985314,10,0.5971069661210506,0.5794319600499376,0.5470963818789906,0.5745451026833263,0.020707094842899443,,,,,0.01,,,6.0,100.0,3.0
CatBoostClassifier,0.06085824966430664,0.005820656036169404,0.0032602945963541665,0.000739506032677363,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.5823863636363636,0.6031870428422152,0.7032461240310077,0.6296065101698622,0.0527589588668449,6,0.9309658840756478,0.9388574770910509,0.9064014708340298,0.9254082773335762,0.013820596467195606,,,,,0.1,,,6.0,100.0,3.0
