model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_colsample_bytree,param_learning_rate,param_reg_alpha,param_reg_lambda,param_subsample,param_depth,param_iterations,param_l2_leaf_reg
CatBoostClassifier,0.07610454559326171,0.01731389420738722,0.005009174346923828,0.0013700994353066645,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.05, 'subsample': 0.8}",0.609556371617914,0.6055472512871616,0.6222222222222222,0.5621312684365781,0.5553571428571429,0.5909628512842038,0.026961448905351435,91,0.7805531690553364,0.8438655899973951,0.8238389575676579,0.8075194873466047,0.8238636890359782,0.8159281786005945,0.02110994596971733,,,,,,,0.05,,,0.8,6.0,100.0,1.0
CatBoostClassifier,0.08918595314025879,0.0250612650832698,0.007277584075927735,0.006253786689491516,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.05, 'subsample': 1.0}",0.5960522293549937,0.6306614326115403,0.6082227138643068,0.5655441266262741,0.5388888888888889,0.5878738782692008,0.03227966027139028,92,0.7933925239038843,0.8410652920962199,0.7965410907208936,0.8136180825010568,0.820919820919821,0.8131073620283751,0.0173554451992348,,,,,,,0.05,,,1.0,6.0,100.0,1.0
CatBoostClassifier,0.0782045841217041,0.018368005002965867,0.0037520408630371095,0.0008756882791444603,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.1, 'subsample': 0.8}",0.6099235450148229,0.5940754821591224,0.6629213483146068,0.6178872439844535,0.5998214285714285,0.6169258096088869,0.024414106420547966,37,0.9505638394527284,0.9711347871563768,0.9505638394527284,0.966932445456935,0.9630487503670815,0.96044873237717,0.00846655315755048,,,,,,,0.1,,,0.8,6.0,100.0,1.0
CatBoostClassifier,0.0773355484008789,0.014149048870139604,0.006502866744995117,0.0035126008966141955,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 1, 'learning_rate': 0.1, 'subsample': 1.0}",0.5707417582417582,0.6060571121103809,0.6178872439844535,0.5777777777777777,0.533125,0.5811177784228742,0.029651604146542387,98,0.948443008225617,0.9650818678928726,0.9609911908034487,0.9566166600868535,0.9505724696564392,0.956341039333046,0.006225066279128015,,,,,,,0.1,,,1.0,6.0,100.0,1.0
CatBoostClassifier,0.07880988121032714,0.01474653236726701,0.004728794097900391,0.0012093482770539903,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.01, 'subsample': 0.8}",0.45652173913043476,0.5061343314618424,0.45652173913043476,0.4553376906318083,0.48172065965736244,0.47124723200237656,0.02006786576995135,152,0.5055111436067823,0.5396818431157433,0.49959016393442623,0.5060889929742389,0.5285869314173082,0.5158918150096998,0.015470804143956457,,,,,,,0.01,,,0.8,6.0,100.0,3.0
CatBoostClassifier,0.069240140914917,0.012307857087450887,0.005955171585083008,0.0018917011322675966,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.01, 'subsample': 1.0}",0.45652173913043476,0.5061343314618424,0.45652173913043476,0.4553376906318083,0.48172065965736244,0.47124723200237656,0.02006786576995135,152,0.48141645588454096,0.5228801039252147,0.5055111436067823,0.4941140106276635,0.5285869314173082,0.5065017290923018,0.017548305241105913,,,,,,,0.01,,,1.0,6.0,100.0,3.0
CatBoostClassifier,0.06729612350463868,0.006665860305369388,0.004171323776245117,0.0016012029493644453,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.05, 'subsample': 0.8}",0.6136675824175823,0.609556371617914,0.6222222222222222,0.5777777777777777,0.5418691324243997,0.5930186172919791,0.029669110573596412,89,0.7605225833516451,0.7870225013082156,0.7805531690553364,0.7722569134701159,0.7838289479756431,0.7768368230321913,0.009524484961218188,,,,,,,0.05,,,0.8,6.0,100.0,3.0
CatBoostClassifier,0.07603282928466797,0.013063954713769052,0.005202150344848633,0.0005247171771573213,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.05, 'subsample': 1.0}",0.6136675824175823,0.609556371617914,0.6266799402687905,0.5814290239377348,0.5586109722285351,0.5979887780941114,0.024607535286517407,81,0.7536288049605411,0.7996657754010695,0.7739819004524886,0.758656788532775,0.7805819940708378,0.7733030526835424,0.01643183524828791,,,,,,,0.05,,,1.0,6.0,100.0,3.0
CatBoostClassifier,0.08240818977355957,0.016018740914720126,0.0034432411193847656,0.0010475167330386162,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'subsample': 0.8}",0.6336778741435982,0.6534790701358362,0.647068593256934,0.5884513106242877,0.592014487754398,0.6229382671830108,0.027480839673990357,16,0.9151068341081544,0.942007546565512,0.9151068341081544,0.9215518524029163,0.9220263304770346,0.9231598795323543,0.009887449807822623,,,,,,,0.1,,,0.8,6.0,100.0,3.0
CatBoostClassifier,0.06936702728271485,0.012559964803790171,0.006632041931152344,0.0027115624817196263,,"{'depth': 6, 'iterations': 100, 'l2_leaf_reg': 3, 'learning_rate': 0.1, 'subsample': 1.0}",0.6489311905133406,0.6060571121103809,0.6312684365781711,0.5960522293549937,0.613487409451535,0.6191592756016843,0.01881898529191265,27,0.8984876454349924,0.9332518055237791,0.9127764842840512,0.9261179680181438,0.9197383883056773,0.9180744583133288,0.011912433397785008,,,,,,,0.1,,,1.0,6.0,100.0,3.0
